Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Regions,Description,Number of Portfolio Organizations,Number of Exits (IPO),Number of Lead Investments,Operating Status,Founded Date,Founded Date Precision,Website,LinkedIn,Industries,Industry Groups,Number of Founders,Founders,Number of Employees,Investment Stage,Company Type,Acquisition Status,IPO Status,CB Rank (Investor)
Matteo Cocciardo,https://www.crunchbase.com/person/matteo-cocciardo,Individual/Angel,1,,"Torino, Piemonte, Italy","European Union (EU), Europe, Middle East, and Africa (EMEA)",Matteo Cocciardo - CEO and co-founder @ Inrecruiting,1,,,,,,http://www.in-recruiting.com,https://www.linkedin.com/in/matteococciardo/,,,,,,,,,,"140,674"
Soho Ventures,https://www.crunchbase.com/organization/soho-ventures,Venture Capital,1,,,,--------,1,,,Closed,2015-01-01,year,http://soho.ventures,,,,,,1-10,,,,Private,"141,196"
novatechflow,https://www.crunchbase.com/organization/digitalgrid-9273,,1,,"Valletta, NA - Malta, Malta","European Union (EU), Middle East and North Africa (MENA), Europe, Middle East, and Africa (EMEA)",NovaTechFlow is an startup advisor that focuses on innovative digital transformation start-ups or spin-offs.,1,,,Active,2019-09-01,month,https://novatechflow.com,https://www.linkedin.com/company/novatechflow-advisor,"Angel Investment, Energy, Medical, Renewable Energy","Energy, Financial Services, Health Care, Lending and Investments, Sustainability",1,Alexander Alten,1-10,"Crowdfunding, Early Stage Venture, Seed",,,Private,"142,302"
Lyle Adams,https://www.crunchbase.com/person/lyle-adams-73f4,Individual/Angel,1,,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US","Lyle Adams is a technology entrepreneur. He began his career as a professional soccer player, before moving on to the corporate world with p...",1,,,,,,,https://www.linkedin.com/in/lyleadams,,,,,,,,,,"142,970"
TokenBrice,https://www.crunchbase.com/organization/tokenbrice,,1,,,,TokenBrice is a proponent of decentralized finance who participates actively in the grassroots movement.,1,,,Active,,,https://tokenbrice.xyz/,,,,,,,,For Profit,,Private,"143,924"
Alexandre Wentzo,https://www.crunchbase.com/person/alexandre-wentzo,Individual/Angel,1,,"Los Angeles, California, United States","Greater Los Angeles Area, West Coast, Western US","A visionary Leader with a ""can do"" approach and a proven track record of delivering ‘stretch’ targets in a fast growing and highly competiti...",1,,,,,,,https://www.linkedin.com/in/alexandrewentzo,,,,,,Seed,,,,"144,530"
Jimmy Duan,https://www.crunchbase.com/person/jimmy-duan,Individual/Angel,1,,"San Francisco Bay Area, California, United States","West Coast, Western US",Jimmy Duan is the Chief Customer Officer of BlackLine. He previously worked at CallidusCloud as a EVP and Chief Technology Officer. Jimmy Du...,1,,,,,,,https://www.linkedin.com/in/jimmy-duan-10337,,,,,,,,,,"145,394"
Diego Hernan Schammas,https://www.crunchbase.com/person/diego-hernan-schammas,Individual/Angel,1,,"Detroit, Michigan, United States","Greater Detroit Area, Great Lakes, Midwestern US",Diego Hernan Schammas,1,,1,,,,,https://www.linkedin.com/in/diegoschammas/?originalSubdomain=ar,,,,,,,,,,"145,484"
Jordi Vallejo,https://www.crunchbase.com/person/jordi-vallejo,Individual/Angel,1,,"Barcelona, Catalonia, Spain","European Union (EU), Europe, Middle East, and Africa (EMEA)","Jordi Vallejo is the IoT Engineering Lead at Inpixon. He attended IESE Business School, the Universitat de Barcelona, and the Universitat Po...",1,,,,,,,https://es.linkedin.com/in/jordivallejo,,,,,,,,,,"145,695"
Berkan Saglam,https://www.crunchbase.com/person/berkan-saglam,Individual/Angel,1,,"Paris, Ile-de-France, France","European Union (EU), Europe, Middle East, and Africa (EMEA)",Berkan Saglam,1,,,,,,,https://www.linkedin.com/in/berkansaglam/,,,,,,,,,,"146,023"
Didier Forest,https://www.crunchbase.com/person/didier-forest,Individual/Angel,1,,"Paris, Ile-de-France, France","European Union (EU), Europe, Middle East, and Africa (EMEA)",Didier Forest - Creative Partner @ Hexa,1,,,,,,,https://www.linkedin.com/in/didier-forest-6194509/,,,,,,,,,,"146,840"
Tolga Bakkaloglu,https://www.crunchbase.com/person/tolga-bakkaloglu,Individual/Angel,1,,,,Tolga Bakkaloglu - Co-Founder & CFO @ Twentify,1,,,,,,,https://www.linkedin.com/in/tolga-bakkaloglu,,,,,,,,,,"147,624"
Demetrios Kellari,https://www.crunchbase.com/person/demetrios-kellari,Individual/Angel,1,,"Brooklyn, New York, United States","Greater New York Area, East Coast, Northeastern US",Demetrios Kellari,1,,,,,,,https://www.linkedin.com/in/demetrioskellari/,,,,,,,,,,"148,214"
Denis Vasilyev,https://www.crunchbase.com/person/denis-vasilyev-2eb3,Individual/Angel,1,,"Moscow, Moscow City, Russian Federation","Europe, Middle East, and Africa (EMEA)",Denis Vasilyev - Founder and CEO @ LAVA,1,,1,,,,,https://www.linkedin.com/in/denis-vasilyev-313715212,,,,,,,,,,"148,883"
Founders Ventures,https://www.crunchbase.com/organization/founders-ventures,Venture Capital,1,,"Zug, Zug, Switzerland","Europe, Middle East, and Africa (EMEA)",Founders Ventures is an venture capital firm,1,,,Active,,,https://www.foundersventures.com,https://www.linkedin.com/company/founder-vc,,,,,1-10,,,,Private,"149,137"
Orange Fab Romania,https://www.crunchbase.com/organization/orange-fab-romania,Accelerator,1,,"Bucharest, Bucuresti, Romania","European Union (EU), Europe, Middle East, and Africa (EMEA)",Orange Fab Romania is an acceleration program that facilitates collaboration between Orange and innovative startups.,1,,1,Active,,,https://www.orangefab.ro,,Telecommunications,Hardware,,,,,,,Private,"149,346"
Olbalama 2019 SL,https://www.crunchbase.com/organization/olbalama-2019-sl,,1,,"Barcelona, Catalonia, Spain","European Union (EU), Europe, Middle East, and Africa (EMEA)",Spanish private fund,1,,,Active,,,,,,,,,,,For Profit,,Private,"149,931"
Spincrypto,https://www.crunchbase.com/organization/spincrypto,,1,,,,Spincrypo Capital is an investment firm.,1,,,Active,,,,,,,,,,,,,Private,"149,943"
David Barbe,https://www.crunchbase.com/person/david-barbe,Individual/Angel,1,1,"Paris, Ile-de-France, France","European Union (EU), Europe, Middle East, and Africa (EMEA)",David Barbe,1,,,,,,,https://www.linkedin.com/in/david-barbe/,,,,,,,,,,"149,993"
Malgorzata Sitkowska,https://www.crunchbase.com/person/malgorzata-sitkowska,Individual/Angel,1,,"Warsaw, Mazowieckie, Poland","European Union (EU), Europe, Middle East, and Africa (EMEA)",Malgorzata Sitkowska is the Founder of Amano app. She attended the Private College of Business and Administration in Warsaw.,1,,,,,,,https://www.linkedin.com/in/malgorzata-sitkowska-02438a1/#,,,,,,,,,,"150,570"
Ludovic Le Moan,https://www.crunchbase.com/person/ludovic-le-moan,Individual/Angel,1,,"Frances, South Australia, Australia","Asia-Pacific (APAC), Australasia","Ludovic Le Moan co-founded SIGFOX, the world’s leading provider of dedicated connectivity for Internet of Things, in 2009. In order to suppo...",1,,,,,,,https://www.linkedin.com/in/lemoan,,,,,,,,,,"151,232"
Alastair Murray,https://www.crunchbase.com/person/alastair-murray,Individual/Angel,1,,"United Kingdom, Europe","Europe, Middle East, and Africa (EMEA)",Alastair Murray is the Chief Executive Officer of Cloud.He attended University of Portsmouth.,1,,,,,,,https://www.linkedin.com/in/alastairmurray1970/,,,,,,,,,,"151,250"
Avihu Levy,https://www.crunchbase.com/person/avihu-levy,Individual/Angel,1,,"Israel, Asia","Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)",Avihu Levy,1,,,,,,,https://www.linkedin.com/in/avihu-levy-13b12349,,,,,,,,,,"152,966"
Huw Slater,https://www.crunchbase.com/person/huw-slater,Individual/Angel,1,,"Barcelona, Catalonia, Spain","European Union (EU), Europe, Middle East, and Africa (EMEA)","Huw Slater is the COO at Travelperk Prior to Travelperk, Huw was the CFO of Typeform, a cloud-based application for users to create and resp...",1,,,,,,,https://www.linkedin.com/in/huw-slater-09b220/,,,,,,,,,,"153,640"
Peter Zhegin,https://www.crunchbase.com/person/peter-zhegin,"Individual/Angel, Investment Partner",1,,"Moscow, Moscow City, Russian Federation","Europe, Middle East, and Africa (EMEA)",Peter Zhegin is an Investor at 7percent Ventures. Attended University of Leeds.,1,,,,,,,https://www.linkedin.com/in/peter-zhegin-526a993,,,,,,,,,,"154,440"
Per Rasmussen,https://www.crunchbase.com/person/per-rasmussen,Individual/Angel,1,1,"Stockholm, Stockholms Lan, Sweden","European Union (EU), Nordic Countries, Scandinavia","Per Rasmussen currently serves Cygni as VD in Cygni Stockholm. Prior to joining Cygni, he worked as a system developer consultant at Aftonbl...",1,,,,,,,https://www.linkedin.com/in/perrasmussen/,,,,,,,,,,"154,876"
Marcus East,https://www.crunchbase.com/person/marcus-east,Individual/Angel,1,,"Greater Seattle Area, Washington, United States","West Coast, Western US",Marcus East is an international technology and product executive and CDO/CIO/CTO with over 25 years experience of working in the Information...,1,,,,,,https://www.marcuseast.org,https://www.linkedin.com/in/marcuseast/,,,,,,Seed,,,,"155,524"
Tim Niemeier,https://www.crunchbase.com/person/tim-niemeier,Individual/Angel,1,,"Berlin, Berlin, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Tim Niemeier is the Founder & MD at ROQ Technology. Tim Niemeier attended WHU – Otto Beisheim School of Management.,1,,,,,,,https://www.linkedin.com/in/niemeier/,,,,,,,,,,"155,554"
Fabian Friede,https://www.crunchbase.com/person/fabian-friede,Individual/Angel,1,,"Berlin, Berlin, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)","Fabian is Sanity Group's Founder and Managing Director. He was the Co-Founder and CMO of locafox.de, a Berlin-based local commerce startup b...",1,,,,,,,http://www.linkedin.com/in/fabianfriede,,,,,,,,,,"155,555"
Andreas Petersson,https://www.crunchbase.com/person/andreas-petersson,Individual/Angel,1,1,"Vienna, Wien, Austria","European Union (EU), Europe, Middle East, and Africa (EMEA)",Andreas Petersson is a Managing Director at Capacity Blockchain Solutions GmbH. Andreas previously worked at Minebox GmbH as a CTO and Co-Fo...,1,,,,,,,https://www.linkedin.com/in/andreas-petersson-202293b5,,,,,,,,,,"155,679"
Besime Özderici,https://www.crunchbase.com/person/besime-özderici,Individual/Angel,1,,"Umraniye, Istanbul, Turkey","Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)",Besime Özderici is the Co-Founder of Özderici Vakfı.,1,,,,,,,,,,,,,,,,,"155,911"
David Cao,https://www.crunchbase.com/person/david-cao-b330,Individual/Angel,1,,"Warszawa, Mazowieckie, Poland","European Union (EU), Europe, Middle East, and Africa (EMEA)",David Cao is the owner of the UKIM restaurant.,1,,,,,,,,,,,,,,,,,"155,932"
Loic Amado,https://www.crunchbase.com/person/loic-amado,Individual/Angel,1,,"Zürich, Zurich, Switzerland","Europe, Middle East, and Africa (EMEA)",Loïc Amado is the founder of Loic Amado. Loic Amado attended Harvard Business School Executive Education in 2018.,1,,,,,,,https://www.linkedin.com/in/loicamado/,,,,,,,,,,"156,384"
Charlie Bullock,https://www.crunchbase.com/person/charlie-bullock,Individual/Angel,1,,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",Charlie Bullock is the Co-Founder & CEO at Scan.com. He attended The London School of Economics and Political Science (LSE).,1,,,,,,http://charliebullock.co.uk/,https://www.linkedin.com/in/charlie-bullock/,,,,,,Seed,,,,"156,680"
Alejandro Recouso,https://www.crunchbase.com/person/alejandro-recouso,Individual/Angel,1,,"Lisbon, Lisboa, Portugal","European Union (EU), Europe, Middle East, and Africa (EMEA)",Alejandro Recouso,1,,,,,,,https://www.linkedin.com/in/alexrecouso/,,,,,,,,,,"157,092"
Andrea Lederer,https://www.crunchbase.com/person/andrea-lederer,Individual/Angel,1,1,"Germany, Europe","European Union (EU), Europe, Middle East, and Africa (EMEA)",Andrea Lederer,1,,,,,,,,,,,,,,,,,"157,268"
Tiago Monteiro,https://www.crunchbase.com/person/tiago-monteiro-9640,Individual/Angel,1,,"Porto, Portugal, Europe","European Union (EU), Europe, Middle East, and Africa (EMEA)",Tiago Monteiro is a former F1 driver,1,,,,,,,https://www.linkedin.com/in/tiago-monteiro-69735678/?originalSubdomain=pt,,,,,,,,,,"157,451"
Peter Kessel,https://www.crunchbase.com/person/peter-kessel,"Individual/Angel, Investment Partner",1,1,"Germany, Europe","European Union (EU), Europe, Middle East, and Africa (EMEA)",Peter Kessel,1,,,,,,,,,,,,,,,,,"157,847"
Dominique Cerutti,https://www.crunchbase.com/person/dominique-cerutti,Individual/Angel,1,,"Paris, Ile-de-France, France","European Union (EU), Europe, Middle East, and Africa (EMEA)",Dominique Cerutti is the chairman at Adarma.,1,,1,,,,,https://www.linkedin.com/in/dominique-cerutti-3674886/,,,,,,,,,,"158,090"
Scott Jones,https://www.crunchbase.com/person/scott-jones-da41,Individual/Angel,1,,"Cardiff, Cardiff, United Kingdom","Europe, Middle East, and Africa (EMEA)",Scott is a seasoned CEO and serial entrepreneur operating in the technology and financial services sectors. In addition Scott is a founding ...,1,,1,,,,,https://www.linkedin.com/in/sjonesuk,,,,,,"Early Stage Venture, Initial Coin Offering, Seed",,,,"158,247"
Canadian Telecom,https://www.crunchbase.com/organization/canadian-telecom,,1,,,,Private spanish company,1,,,Active,,,,,,,,,,,For Profit,,Private,"159,161"
Iryna Gavrylova,https://www.crunchbase.com/person/iryna-gavrylova,Individual/Angel,1,,"Sofia, Grad Sofiya, Bulgaria","European Union (EU), Europe, Middle East, and Africa (EMEA)","Born and raised in Ukraine, mature business architect, seasoned financier and visionary in bio-tech and food-tech innovations",1,,,,,,,https://www.linkedin.com/in/iryna-gavrylova/,,,,,,,,,,"159,263"
Arnaud Monnier,https://www.crunchbase.com/person/arnaud-monnier,Individual/Angel,1,,"Lille, Nord-Pas-de-Calais, France","European Union (EU), Europe, Middle East, and Africa (EMEA)",Arnaud Monnier - CEO @ Altima and and member of the Board of Director @ ClicData @ ClicData,1,,,,,,,https://www.linkedin.com/in/arnaudmonnier,,,,,,,,,,"159,273"
Simon Polrot,https://www.crunchbase.com/person/simon-polrot,Individual/Angel,1,,"Paris, Ile-de-France, France","European Union (EU), Europe, Middle East, and Africa (EMEA)",Simon Polrot - Co-Founder @ VariabL,1,,,,,,,https://www.linkedin.com/in/simonpolrot/,,,,,,,,,,"159,285"
Michal Zawiasa,https://www.crunchbase.com/person/michal-zawiasa,Individual/Angel,1,,"Poznan, Wielkopolskie, Poland","European Union (EU), Europe, Middle East, and Africa (EMEA)",Michal Zawiasa is the Founder & CEO at Glodny.pl.,1,,,,,,,https://www.linkedin.com/in/michal-zawiasa-a28b00a/?originalSubdomain=pl,,,,,,,,,,"159,611"
Holding Roule,https://www.crunchbase.com/organization/holding-roule,Private Equity Firm,1,,,,Investment,1,,,Active,2020-04-10,day,,,,,,,,,,,Private,"160,066"
Ulrike Mueller,https://www.crunchbase.com/person/ulrike-mueller,Individual/Angel,1,,"Berlin, Berlin, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Ulrike is a passionate and visionary technologist who has been creating innovative software products her whole career. As former Chief Techn...,1,,,,,,,https://www.linkedin.com/in/uvmueller,,,,,,,,,,"160,346"
Thanasis Papangelis,https://www.crunchbase.com/person/thanasis-papangelis,Individual/Angel,1,,,,Thanasis Papangelis,1,,,,,,,,,,,,,,,,,"160,873"
Doo Wan Nam,https://www.crunchbase.com/person/doo-wan-nam,Individual/Angel,1,,"South Korea, Asia",Asia-Pacific (APAC),Doo Wan Nam is a community moderator at Blockchain ROK.,1,,,,,,,https://www.linkedin.com/in/doo-wan-nam-b8943443/,,,,,,,,,,"161,277"
Sebastian Gronewold,https://www.crunchbase.com/person/sebastian-gronewold,Individual/Angel,1,,,,"Sebastian Gronewold is the Founder, Managing Partner & Software Engineer at Autobahn Network.",1,,,,,,,,,,,,,,,,,"161,296"
Mark Kremers,https://www.crunchbase.com/person/mark-kremers-2e14,Individual/Angel,1,,"Dubai, Dubai, United Arab Emirates","Europe, Middle East, and Africa (EMEA), Gulf Cooperation Council (GCC), Middle East",Mark Kremers,1,,,,,,,,,,,,,,,,,"161,545"
BOLD Capital Group,https://www.crunchbase.com/organization/bold-capital-group-5ab2,"Incubator, Private Equity Firm",1,,"Charleston, South Carolina, United States","East Coast, Southern US",BOLD Capital Group is an investment firm that offers investment and consulting services that enable entrepreneurs to grow their businesses.,1,,,Active,2019-01-01,year,https://www.boldcapitalgroup.com/,https://www.linkedin.com/company/boldcapitalgroup/,"Business Development, Consulting, Finance, Venture Capital","Financial Services, Lending and Investments, Professional Services",,,11-50,Early Stage Venture,,,Private,"161,575"
Saad J. Wohlgenannt,https://www.crunchbase.com/person/saad-j-wohlgenannt,Individual/Angel,1,,"Austria, Europe","European Union (EU), Europe, Middle East, and Africa (EMEA)","Saad J. Wohlgenannt is a CMO and CoFounder at Coinpanion. He has a Master's degree, Technology Entrepreneurship, Distinction at UCL, Bachelo...",1,,,,,,,https://www.linkedin.com/in/saadw/,,,,,,,,,,"162,707"
Nidas Kiuberis,https://www.crunchbase.com/person/nidas-kiuberis,Individual/Angel,1,,"Palanga, Klaipedos Apskritis, Lithuania","European Union (EU), Europe, Middle East, and Africa (EMEA)",Nidas Kiuberis,1,,,,,,,https://www.linkedin.com/in/nidaskiuberis/?originalSubdomain=lt,,,,,,,,,,"163,131"
Alexander Valtingojer,https://www.crunchbase.com/person/alexander-valtingojer,Individual/Angel,1,,"Vienna, Wien, Austria","European Union (EU), Europe, Middle East, and Africa (EMEA)","Alexander is the CEO of Coinpanion which functions as a crypto robo-advisor platform (= Systematic process, which creates, monitors and opti...",1,,,,,,,https://www.linkedin.com/in/alexandervaltingojer/,,,,,,,,,,"163,199"
Sam Bonnier,https://www.crunchbase.com/person/sam-bonnier,Individual/Angel,1,,"Stockholm, Stockholms Lan, Sweden","European Union (EU), Nordic Countries, Scandinavia",Sam Bonnier,1,,,,,,,https://www.linkedin.com/in/sam-bonnier-a954797a/,,,,,,,,,,"163,472"
Arnd von Wedemeyer,https://www.crunchbase.com/person/arnd-von-wedemeyer,Individual/Angel,1,,"Munich, Bayern, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)","Previous founder and CEO of notebooksbilliger.de Quote from omr.com: ""Arnd von Wedemeyer started programming when he was 14; in 1989, at th...",1,,,,,,,https://www.linkedin.com/in/arnd-von-wedemeyer-10469452,,,,,,,,,,"163,649"
Mikhail Lugovskiy,https://www.crunchbase.com/person/mikhail-lugovskiy,Individual/Angel,1,,"Amsterdam, Noord-Holland, The Netherlands","European Union (EU), Europe, Middle East, and Africa (EMEA)","Advisor, financial specialist with Economics and Management background. Mikhail has 5+ years’ experience in financial industry, having worke...",1,,1,,,,,https://www.linkedin.com/in/mikhail-lugovskiy-172b7890/,,,,,,Seed,,,,"163,833"
Jakub Kubiš,https://www.crunchbase.com/person/jakub-kubiš-kubo,Individual/Angel,1,,"Prague, Hlavni mesto Praha, Czech Republic","European Union (EU), Europe, Middle East, and Africa (EMEA)",Jakub Kubiš,1,,,,,,,https://www.linkedin.com/in/kubisjak/,,,,,,,,,,"164,093"
Peter Jakobsen,https://www.crunchbase.com/person/peter-jakobsen-2,Individual/Angel,1,,"Copenhagen, Hovedstaden, Denmark","European Union (EU), Nordic Countries, Scandinavia",Peter Jakobsen,1,,,,,,,https://www.linkedin.com/in/peter-jakobsen-409a8828,,,,,,,,,,"165,415"
James DeNaut,https://www.crunchbase.com/person/james-denaut,Individual/Angel,1,,"United States, North America",,"Mr. James DeNaut, also known as Jim, serves as Joint International Head of Investment Banking at Nomura Holdings Inc. Mr. DeNaut has been He...",1,,,,,,,https://www.linkedin.com/in/james-denaut-93a83122,,,,,,,,,,"165,641"
Liga Lemberga,https://www.crunchbase.com/person/liga-lemberga,Individual/Angel,1,,"Riga, Riga, Latvia","European Union (EU), Europe, Middle East, and Africa (EMEA)","Liga Lemberga is an entrepreneur and angel investor with over 20 years of experience as an entrepreneur, a manager, and a board member. Lemb...",1,,,,,,,https://www.linkedin.com/in/liga-lemberga,,,,,,,,,,"165,694"
Fabian Wesner,https://www.crunchbase.com/person/fabian-wesner,Individual/Angel,1,,"Berlin, Berlin, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Fabian Wesner is the Founder & MD at ROQ Technology.,1,,,,,,,https://www.linkedin.com/in/fabian-wesner-94925922/,,,,,,,,,,"166,191"
Kiana Sharifi,https://www.crunchbase.com/person/kiana-sharifi,Individual/Angel,1,,"United Kingdom, Europe","Europe, Middle East, and Africa (EMEA)","Kiana Sharifi joined Balderton in September 2017 as Head of Talent. She is responsible for developing Balderton’s talent platform, helping o...",1,,,,,,,https://www.linkedin.com/in/kianas/,,,,,,,,,,"166,492"
Wim De Waele,https://www.crunchbase.com/person/wim-de-waele,Individual/Angel,1,1,"Ghent, Oost-Vlaanderen, Belgium","European Union (EU), Europe, Middle East, and Africa (EMEA)",Wim De Waele - Executive Chairman @ The Beacon,1,,,,,,,http://be.linkedin.com/in/wimdewaele/en,,,,,,,,,,"166,595"
Yiğit Barış Şemin,https://www.crunchbase.com/person/yiğit-barış-şemin,Individual/Angel,1,,"Turkey, Europe","Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)",Yiğit Barış Şemin,1,,,,,,,https://www.linkedin.com/in/yi%C4%9Fit-bar%C4%B1%C5%9F-%C5%9Femin-93230752/,,,,,,,,,,"166,691"
Kiran Sharma,https://www.crunchbase.com/person/kiran-sharma-3203,Individual/Angel,1,,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",Kiran Sharma is the Founding Partner of First Look Capital. She previously worked at Ropes and Gray LLP as a Partner. Kiran Sharma attended ...,1,,,,,,,https://www.linkedin.com/in/kiran-sharma-98800511,,,,,,,,,,"167,156"
Brooks Wallace,https://www.crunchbase.com/person/brooks-wallace-c79a,Individual/Angel,1,1,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)","Brooks Wallace is the VP Sales, EMEA at Deep Instinct. Brooks Wallace attended University of Illinois Urbana-Champaign.",1,,,,,,,https://linkedin.com/in/brookswallace,,,,,,,,,,"167,520"
Wilbert Heijmans,https://www.crunchbase.com/person/wilbert-heijmans,Individual/Angel,1,,"Dubai, Dubai, United Arab Emirates","Europe, Middle East, and Africa (EMEA), Gulf Cooperation Council (GCC), Middle East","Wilbert is a business development senior executive who has professional experience in Europe, Far East and Middle East for over 20 years.",1,,,,,,https://lifeafterme.com,https://www.linkedin.com/in/wilbertheijmans/,,,,,,Early Stage Venture,,,,"168,119"
ZA KHATRI,https://www.crunchbase.com/person/zuber-ayub-khatri,Individual/Angel,1,,"Mumbai, Maharashtra, India",Asia-Pacific (APAC),ZA KHATRI - INVESTOR @ Sufiyaz it lab Pvt ltd,1,,,,,,,,,,,,,,,,,"168,479"
Thanasis Misdanitis,https://www.crunchbase.com/person/thanasis-misdanitis,Individual/Angel,1,,,,Thanasis Misdanitis,1,,,,,,,,,,,,,,,,,"168,834"
Huseyin Oguz,https://www.crunchbase.com/person/huseyin-oguz,Individual/Angel,1,,"Turkey, Europe","Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)",Huseyin Oguz is a Venture Partner at EWOR.,1,,,,,,,https://www.linkedin.com/in/huseyin-oguzz/?original_referer=https%3A%2F%2Fwww%2Egoogle%2Ecom%2F&originalSubdomain=tr,,,,,,,,,,"168,868"
Emily González Cebrián-Lombán,https://www.crunchbase.com/person/emily-gonzález-cebrián-lombán,Individual/Angel,1,,"Andalucia, Spain, Europe","European Union (EU), Europe, Middle East, and Africa (EMEA)","To work with people and for people. That is the most valuable lesson, the key for success learnt out of my experience working in internatio...",1,,,,,,,https://www.linkedin.com/in/emilygcebrianlomban,,,,,,,,,,"168,886"
Lasse Madsen,https://www.crunchbase.com/person/lasse-madsen-b1c0,Individual/Angel,1,,"Copenhagen, Hovedstaden, Denmark","European Union (EU), Nordic Countries, Scandinavia",Lasse Madsen,1,,,,,,,https://www.linkedin.com/in/lasse-madsen83,,,,,,,,,,"169,039"
Ravinder Dhaliwal,https://www.crunchbase.com/person/ravinder-dhaliwal,Individual/Angel,1,,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",Ravinder Dhaliwal - Investor and Venture Partner @ Crane Venture Partners,1,,,,,,,https://www.linkedin.com/in/ravinderdhaliwal,,,,,,,,,,"169,144"
LVC Investments,https://www.crunchbase.com/organization/lvc-investments,,1,,,,LVC Investments is an investment firm.,1,,,Active,,,,,,,,,,,,,Private,"169,463"
Rafael Avilés Uruñuela,https://www.crunchbase.com/person/rafael-avilés-uruñuela,Individual/Angel,1,,"Madrid, Madrid, Spain","European Union (EU), Europe, Middle East, and Africa (EMEA)",Rafael Avilés Uruñuela,1,,,,,,,https://www.linkedin.com/in/rafael-aviles-uru%C3%B1uela-18665210/?originalSubdomain=es,,,,,,,,,,"169,567"
Grégoire Mercier,https://www.crunchbase.com/person/grégoire-mercier,Individual/Angel,1,,"Paris, Ile-de-France, France","European Union (EU), Europe, Middle East, and Africa (EMEA)",Gregoire Mercier is the CEO and Founder of ADDICT. He attended Audencia.,1,,,,,,,https://www.linkedin.com/in/gregoiremercier/,,,,,,Seed,,,,"169,636"
Daniel Johnsson,https://www.crunchbase.com/person/daniel-johnsson,Individual/Angel,1,,"Gothenburg, Vastra Gotaland, Sweden","European Union (EU), Nordic Countries, Scandinavia",Daniel Johnsson,1,,1,,,,,https://www.linkedin.com/in/daniel-johnsson-77a946,,,,,,,,,,"169,912"
stefan forbes,https://www.crunchbase.com/person/stefan-forbes-2c30,Individual/Angel,1,,"Melbourne, Victoria, Australia","Asia-Pacific (APAC), Australasia",I am professional writer.,1,,,,,,https://www.sampleassignment.com/,,,,,,,Seed,,,,"169,930"
Jasmin Thomas,https://www.crunchbase.com/person/jasmin-thomas-5a54,Individual/Angel,1,,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",Jasmin Thomas,1,,,,,,,https://www.linkedin.com/in/jasminthomas/,,,,,,,,,,"170,234"
Albert Esteve,https://www.crunchbase.com/person/albert-esteve,Individual/Angel,1,,"Barcelona, Catalonia, Spain","European Union (EU), Europe, Middle East, and Africa (EMEA)",Albert Esteve,1,,1,,,,,,,,,,,Seed,,,,"170,570"
Ernesto Rodriguez Lourido,https://www.crunchbase.com/person/ernesto-rodriguez-lourido,Individual/Angel,1,,"Barcelona, Catalonia, Spain","European Union (EU), Europe, Middle East, and Africa (EMEA)",Ernesto Rodriguez Lourido,1,,1,,,,,,,,,,,Private Equity,,,,"171,465"
Julius Heinz,https://www.crunchbase.com/person/julius-heinz,Individual/Angel,1,,"Frankfurt, Hessen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",CFO,1,,,,,,,https://www.linkedin.com/in/julius-heinz-b93754190,,,,,,,,,,"171,566"
HPF,https://www.crunchbase.com/organization/hpf-68ec,,1,,,,Holding of Pinko (Fashion brand),1,,,Active,,,,,,,,,,,For Profit,,Private,"171,581"
Mike Korba,https://www.crunchbase.com/person/mike-korba-6856,Individual/Angel,1,,"Warszawa, Mazowieckie, Poland","European Union (EU), Europe, Middle East, and Africa (EMEA)",Mike Korba is the Chief Commercial Officer and Co-Founder at User.com.,1,,,,,,,https://www.linkedin.com/in/michalkorba,,,,,,,,,,"171,728"
Geoffroy De Cooman,https://www.crunchbase.com/person/geoffroy-de-cooman,Individual/Angel,1,,,,Geoffroy De Cooman is CPO and Co-Founder at Proxyclick,1,,,,,,,https://www.linkedin.com/in/gdecooman,,,,,,,,,,"171,998"
Yucel Olcer,https://www.crunchbase.com/person/yucel-olcer-olcer,Individual/Angel,1,,"Istanbul, Istanbul, Turkey","Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)",Yucel Olcer is the retail COO of ING Bank Turkey and and Head of ING Hubs.,1,,,,,,,https://www.linkedin.com/in/yucel-olcer-35a649/,,,,,,,,,,"172,071"
